,Congressional Candidate Table 7**,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
31,Alaska,00,"METTLER, SHERRY",None,Open,8350,1550,0,6800,8308.73,41.27,5000,2022-06-30 00:00:00
32,Alaska,00,"PALIN, SARAH",Republican Party,Open,836016.21,787751.31,45505,0,741031.51,94984.7,40315.69,2022-06-30 00:00:00
33,Alaska,00,"PELTOLA, MARY",Democratic Party,Open,243029.03,236004.02,2000,25,127821.76,115207.27,10000,2022-06-30 00:00:00
34,Alaska,00,"REVAK, JOSHUA CARL",Republican Party,Open,121666,116666,5000,0,121575.69,90.31,0,2022-06-30 00:00:00
35,Alaska,00,"SWEENEY, TARA M",Republican Party,Open,277300.94,259900.94,17400,0,228797.7,48503.24,10519.33,2022-06-30 00:00:00
36,Alaska,00,"WOOL, ADAM L",Democratic Party,Open,16217.07,15117,0,1100,16217.07,0,0,2022-06-30 00:00:00
37,Alaska,00,"YOUNG, DONALD E*",Republican Party,Incumbent,665754.58,203591.43,278500,0,843115.65,71812.12,0,2022-06-30 00:00:00
38,Alaska,00,"BEGICH, NICHOLAS III",Republican Party,Challenger,1262736.6,577077.51,12098.74,673560.33,554486.15,708250.45,650000,2022-06-30 00:00:00
39,Alaska,00,"BRELSFORD, GREGG BOWYER MR.",Independent,Challenger,43826.69,13610,0,27341.93,28700.05,15126.64,27000,2022-06-30 00:00:00
40,Alaska,00,"CONSTANT, CHRISTOPHER",Democratic Party,Challenger,164196.9,157582.05,1000,614.85,159541.56,4655.34,143780.48,2022-06-30 00:00:00
41,Alaska,00,"PURHAM, RANDY",Republican Party,Challenger,1548.51,1548.51,0,0,5621.6,-111,0,2022-06-30 00:00:00
42,American Samoa,00,"AMATA, AUMUA",Republican Party,Incumbent,41700,8400,27900,0,35598.11,6619.92,0,2022-06-30 00:00:00
43,Arizona ,01,"BARNETT, JOSH",Republican Party,Challenger,59597.41,59597.41,0,0,60100.74,4057.78,0,2022-06-30 00:00:00
44,Arizona ,01,"HODGE, JEVIN D",Democratic Party,Challenger,982979.18,885324.29,86373.61,0,521381.66,461597.52,0,2022-06-30 00:00:00
45,Arizona ,01,"METZENDORF, ADAM",Democratic Party,Challenger,220051.85,214001.85,0,2900,197913.45,22138.4,0,2022-06-30 00:00:00
46,Arizona ,01,"MOORE FOR AZ, JOHN W",Republican Party,Challenger,129666.89,37513.52,0,92080,128507.47,1159.42,92080,2022-06-30 00:00:00
47,Arizona ,01,"NORTON, ELIJAH",Republican Party,Challenger,5055637.27,595189.95,0,4459097.32,3440602.62,1615034.65,4350000,2022-06-30 00:00:00
48,Arizona ,01,"TORRES, GINGER SYKES",Democratic Party,Challenger,124921.97,117921.97,6000,0,129544.06,-4622.09,0,2022-06-30 00:00:00
49,Arizona ,01,"WILLIAMSON, W (WALTER) JOHN",Democratic Party,Challenger,1150,1050,0,100,289.73,860.27,0,2022-06-30 00:00:00
50,Arizona ,01,"YATES, ANDY",Republican Party,Challenger,113806,13594,0,100212,13817.18,99988.82,100000,2022-06-30 00:00:00
51,Arizona ,02,"DELUZIO, MARK",Republican Party,Open,1123748,122402,0,1000000,608108.33,515639.67,1000000,2022-06-30 00:00:00
52,Arizona ,02,"FREE, LUCRETIA",Republican Party,Open,14197.49,11065,1000,2100,11911.33,2286.16,14061.09,2022-06-30 00:00:00
53,Arizona ,02,"KRYSTOFIAK, STEVEN",Republican Party,Open,201725,178525,0,23200,102692.37,99032.63,23200,2022-06-30 00:00:00
54,Arizona ,02,"LIZER, MYRON",Republican Party,Open,735.52,0,0,735.52,735.52,0,0,2022-04-14 00:00:00
55,Arizona ,02,"LOWELL, DOUGLAS",Republican Party,Open,278696.15,28389.76,0,250000,278696.15,0,0,2022-02-02 00:00:00
56,Arizona ,02,"MARTIN, BRANDON MR.",Republican Party,Open,144343.21,144343.21,0,0,123813.81,20529.4,0,2022-06-30 00:00:00
57,Arizona ,02,"O'HALLERAN, TOM",Democratic Party,Incumbent,2712757.3,1621719.56,1009542.01,0,740426.31,2035478.2,0,2022-06-30 00:00:00
58,Arizona ,02,"BLACKMAN, WALTER JACK",Republican Party,Challenger,1073639.02,1055081.03,10750,0,882622.99,191016.03,0,2022-06-30 00:00:00
59,Arizona ,02,"CRANE, ELI",Republican Party,Challenger,1966748.65,1840208.33,10500,100000,1600200.94,366547.71,100000,2022-06-30 00:00:00
60,Arizona ,02,"FRIESE, RANDALL S.",Democratic Party,Challenger,705957.71,693011.72,12000,0,705957.71,0,0,2022-03-09 00:00:00
61,Arizona ,02,"WATKINS, RONALD",Republican Party,Challenger,253381.43,156078.41,0,95000,233794.31,17153.63,49854,2022-06-30 00:00:00
62,Arizona ,03,"GALLEGO, RUBEN",Democratic Party,Incumbent,1743816.72,1190150.85,537975,0,1047013.66,1313774.11,0,2022-06-30 00:00:00
63,Arizona ,03,"POZZOLO, LUIS B",Republican Party,Challenger,108219.97,33218.61,0,75000,90975.73,17244.24,25000,2022-06-30 00:00:00
64,Arizona ,03,"ZINK, JEFFREY NELSON MR",Republican Party,Challenger,65356.24,24856.24,500,40000,45194.72,20161.52,40000,2022-06-30 00:00:00
65,Arizona ,04,"STANTON, GREG",Democratic Party,Incumbent,2961710.63,2140894.85,799185.02,0,818127.4,3187985.83,0,2022-06-30 00:00:00
66,Arizona ,04,"COOPER, KELLY",Republican Party,Challenger,1535434.18,193281,3500,1335089.68,342159.34,1193274.84,1298779.68,2022-06-30 00:00:00
67,Arizona ,04,"DAVISON, JERONE",Republican Party,Challenger,49351.31,47835.66,0,0,45153.33,4197.98,0,2022-06-30 00:00:00
68,Arizona ,04,"STAHL, JUDITH",Democratic Party,Challenger,260844.23,260844.23,0,0,261679.59,-835.36,0,2022-02-17 00:00:00
69,Arizona ,04,"WHEELESS, TANYA CONTRERAS",Republican Party,Challenger,1106946.12,885091.91,51500,55000,611888.98,495057.14,55000,2022-06-30 00:00:00
70,Arizona ,05,"BIGGS, ANDY MR.",Republican Party,Incumbent,1438098.71,1377717.55,45300,0,1311507.36,777638.21,0,2022-06-30 00:00:00
71,Arizona ,05,"GREENE, JOAN",Democratic Party,Challenger,20769.36,20769.36,0,0,25005.84,0,126268.19,2021-06-30 00:00:00
72,Arizona ,05,"SMITH, CLINT WILLIAM",Independent,Challenger,114491.6,110991.6,2500,1000,97734.49,16757.11,0,2022-06-30 00:00:00
73,Arizona ,06,"CISCOMANI, JUAN",Republican Party,Open,1686164.65,1549660.9,136500,0,1147843.14,538321.51,0,2022-06-30 00:00:00
74,Arizona ,06,"HERNANDEZ, DANIEL",Democratic Party,Open,1080073.98,935743.8,117450,11120,848068.95,232005.03,0,2022-06-30 00:00:00
75,Arizona ,06,"WINN, KATHLEEN",Republican Party,Open,285616,119316,0,166300,262157.74,23458.26,166300,2022-06-30 00:00:00
76,Arizona ,06,"SCHWEIKERT, DAVID S.",Republican Party,Incumbent,1286919.13,663244.93,224150,200000,1023670.08,322831.2,196100,2022-06-30 00:00:00
77,Arizona ,06,"DISANTO, DELINA",Democratic Party,Challenger,172794.24,161873.62,250,10600,177288.31,-8126.89,0,2022-06-30 00:00:00
78,Arizona ,06,"ENGEL, KIRSTEN",Democratic Party,Challenger,1257587.78,1218216.41,31125,7300,812642.02,444945.76,0,2022-06-30 00:00:00
79,Arizona ,06,"KONCZAL, KEVIN",Republican Party,Challenger,12179.69,9579.69,0,2600,12179.69,0,0,2021-10-15 00:00:00
80,Arizona ,06,"MAYBERRY, YOUNG",Republican Party,Challenger,29737.04,29737.04,0,0,22308.21,-3094.68,0,2022-06-30 00:00:00
81,Arizona ,06,"TIPIRNENI, HIRAL VYAS",Democratic Party,Challenger,23790.47,0,0,0,58763.17,0,0,2022-03-31 00:00:00
82,Arizona ,06,"TOWNSEND, KELLY",Republican Party,Challenger,20093.38,19897.34,0,0,21097.95,-1004.57,0,2022-06-30 00:00:00
83,Arizona ,06,"ULIS, ERIC",Democratic Party,Challenger,6568.6,6261,0,307.6,6336.85,231.75,0,2021-09-30 00:00:00
84,Arizona ,06,"URREA, MARCOS J",Democratic Party,Challenger,8375.85,6372.85,0,2003,6657.93,1717.92,0,2021-12-31 00:00:00
85,Arizona ,07,"GRIJALVA, RAUL M",Democratic Party,Incumbent,434911.51,332039.42,92522,0,338790.72,322329.46,4015.59,2022-06-30 00:00:00
86,Arizona ,07,"BECKER, NINA",Republican Party,Challenger,-1311365.55,-1264399.95,-35815.35,0,900.19,1729721.12,0,2022-06-30 00:00:00
87,Arizona ,08,"LESKO, DEBBIE",Republican Party,Incumbent,921314.06,598265.66,261645.32,0,702848.88,907098.11,0,2022-06-30 00:00:00
88,Arizona ,08,"MUSCATO, MICHAEL ARCHANGEL",Democratic Party,Challenger,12211.66,12211.66,0,0,35945.64,0,0,2021-06-30 00:00:00
89,Arizona ,09,"GOSAR, PAUL DR.",Republican Party,Incumbent,643279.81,607042.95,27050,0,553341.25,97460.38,0,2022-06-30 00:00:00
90,Arizona ,09,"DOWLING, SANDRA E DR",Republican Party,Challenger,45654.16,32439,0,13215.16,19719.26,25934.9,13215.16,2022-06-30 00:00:00
91,Arizona ,09,"GILES, DAVID VICTOR",Republican Party,Challenger,80619.63,10656.64,0,69962.99,80939.15,226.23,555585.74,2022-06-30 00:00:00
92,Arizona ,09,"KUTZ, RANDY",Republican Party,Challenger,73801,38776,0,35025,50872.56,22928.44,44525,2022-06-30 00:00:00
93,Arizona ,09,"LOPEZ, JESUS RENE JR.",Republican Party,Challenger,146089.75,135230.2,0,6190,90217.67,47502.68,9381.37,2022-06-30 00:00:00
94,Arizona ,09,"MORGAN, ADAM",Republican Party,Challenger,66669.12,16669.12,0,50000,45610.47,42074.65,0,2022-06-30 00:00:00
95,Arizona ,09,"STOVALL, ALEX",Republican Party,Challenger,149248.8,136902.97,0,7500,149038.59,210.21,46670.03,2022-06-30 00:00:00
96,Arkansas,01,"CRAWFORD, ERIC ALAN RICK",Republican Party,Incumbent,830567.34,414167.34,415900,0,475355.84,537919.74,0,2022-06-30 00:00:00
97,Arkansas,01,"HODGES, MONTE",Democratic Party,Challenger,22849,22849,0,0,16730.52,6561.64,0,2022-06-30 00:00:00
98,Arkansas,01,"SHACKELFORD, JODY",Republican Party,Challenger,24483.04,150,0,24333.04,21377.52,3105.52,24333.04,2022-05-04 00:00:00
99,Arkansas,01,"SMITH, BRANDT",Republican Party,Challenger,30450,28700,750,1000,30450,0,0,2022-06-30 00:00:00
100,Arkansas,02,"HILL, JAMES FRENCH",Republican Party,Incumbent,2653110,1195840.41,927600,0,1727295.24,1336894.12,0,2022-06-30 00:00:00
101,Arkansas,02,"CARTWRIGHT, NICHOLAS",Democratic Party,Challenger,20244,20244,0,0,19989,255,0,2022-03-21 00:00:00
102,Arkansas,02,"POSTON, DAVID P",Republican Party,Challenger,1209.86,565,0,500,1309.86,0,500,2022-04-21 00:00:00
103,Arkansas,02,"REYNOLDS, CONRAD E",Republican Party,Challenger,126067.04,112515.98,0,12335.56,150194.2,1179.73,21442.67,2022-06-30 00:00:00
104,Arkansas,03,"WOMACK, STEVE",Republican Party,Incumbent,1117957.47,469329.5,637346.27,0,617179.08,1864035.09,0,2022-06-30 00:00:00
105,Arkansas,03,"HAYS, LAUREN",Democratic Party,Challenger,35184.23,27484.23,0,7700,34237.14,947.09,1800,2022-06-30 00:00:00
106,Arkansas,03,"KUMAR, NEIL",Republican Party,Challenger,110333.24,80123.24,210,30000,109355.44,977.8,30000,2022-06-30 00:00:00
107,Arkansas,04,"WESTERMAN, BRUCE",Republican Party,Incumbent,1268302.57,592669.49,654800,0,780251.78,1464856.8,0,2022-06-30 00:00:00
108,California ,00,"BISH, CHRISTINE",Republican Party,Challenger,82070.6,65637.02,0,13034.91,82431.31,604.12,38701.55,2022-06-30 00:00:00
109,California ,01,"LAMALFA, DOUG",Republican Party,Incumbent,653069.19,311029.56,163235,0,304451.93,439759.04,0,2022-06-30 00:00:00
110,California ,01,"LYDON, ROBERT K",Democratic Party,Challenger,10000,10000,0,0,4129.88,5870.12,0,2021-09-30 00:00:00
111,California ,01,"STEINER, MAX",Democratic Party,Challenger,484379.54,477879.54,1500,0,361728.54,122651,0,2022-06-30 00:00:00
112,California ,01,"YEE, ROSE PENELOPE LAGOC",No Party Affiliation,Challenger,18546.8,2000,0,16546.8,16041.46,2505.34,0,2022-03-31 00:00:00
113,California ,01,"ZINK, DAVID LEON MR.",Democratic Party,Challenger,16454,16454,0,0,16454,0,0,2022-03-31 00:00:00
114,California ,02,"HUFFMAN, JARED",Democratic Party,Incumbent,703806.45,399972.58,297200,0,565022.44,1061225.86,0,2022-06-30 00:00:00
115,California ,02,"BROWER, DOUGLAS REV",Republican Party,Challenger,8390,3390,0,5000,5318.08,3071.92,7541.08,2022-06-30 00:00:00
116,California ,02,"COULOMBE, CHRIS MR",Republican Party,Challenger,44620,40420,0,4200,41613.93,3006.07,8464.54,2022-06-30 00:00:00
117,California ,02,"HAMPSON, BETH",Democratic Party,Challenger,15245.34,9985,0,5260,12688.25,-3255.74,0,2022-06-30 00:00:00
118,California ,02,"RAMIREZ, ARCHIMEDES M.D.",Republican Party,Challenger,23440,0,0,12380,18205,5188,0,2022-06-09 00:00:00
119,California ,03,"JONES, KERMIT",Democratic Party,Challenger,1746141.92,1575029.9,137613.04,22613,1150734.2,595407.72,18696,2022-06-30 00:00:00
120,California ,03,"JONES, SCOTT R",Republican Party,Challenger,567898.41,524998.41,22900,20000,539211.78,28686.63,4452.29,2022-06-30 00:00:00
121,California ,03,"KILEY, KEVIN",Republican Party,Challenger,1717690.29,1666690.29,46000,0,1555622.92,162067.37,45489.55,2022-06-30 00:00:00
122,California ,03,"PALETTA, JASON",Republican Party,Challenger,26405.45,26405.45,0,0,26405.45,0,0,2021-12-31 00:00:00
123,California ,04,"THOMPSON, MIKE MR.",Democratic Party,Incumbent,1654792.09,746961.08,899921.87,0,1535635.3,1865328.37,45919.72,2022-06-30 00:00:00
124,California ,04,"BROCK, MATTHEW",Republican Party,Challenger,4707,1407,0,3300,3899.88,807.12,3300,2022-06-30 00:00:00
125,California ,04,"ENGDAHL, ANDREW DAVID",Democratic Party,Challenger,12064.6,5712.7,0,5828.6,9958.53,2213.85,0,2022-06-30 00:00:00
126,California ,04,"NEWMAN, SETH",Republican Party,Challenger,315,315,0,0,101.82,201.18,0,2022-06-30 00:00:00
127,California ,04,"SHELDON-LONDON, MONIKA LOUISE MS.",Republican Party,Challenger,5729.94,1529.94,0,4200,5658.3,-4037.32,4200,2021-12-31 00:00:00
128,California ,05,"MCCLINTOCK, THOMAS",Republican Party,Incumbent,1192804.24,820856.38,195385,0,1266135.75,97489.44,3905,2022-06-30 00:00:00
129,California ,05,"BARKLEY, MICHAEL JAMES MR.",Democratic Party,Challenger,40522.59,2877.7,0,34873.86,34565.41,6409.97,88814.79,2022-06-30 00:00:00
130,California ,05,"DALY, JOLENE",Republican Party,Challenger,4840.31,3750,0,1090.31,4840.31,0,0,2022-03-31 00:00:00
131,California ,05,"MAGSIG, NATHAN",Republican Party,Challenger,441732.73,425832.73,13000,2900,424458.21,17274.52,0,2022-06-30 00:00:00
132,California ,05,"MAIN, DAVID NATHAN",Republican Party,Challenger,11562,200,0,11362,8442,3120,0,2022-06-30 00:00:00
133,California ,06,"BERA, AMERISH",Democratic Party,Incumbent,1156963,587130.31,567714.99,0,890971.51,2295009.68,172800,2022-06-30 00:00:00
134,California ,06,"BLACK, KARLA",,Challenger,5250,5250,0,0,2935.58,2314.42,402.14,2022-06-30 00:00:00
135,California ,06,"DANIELS, BRET",Republican Party,Challenger,14687,5700,8212,775,14309.54,377.46,3966.39,2022-06-30 00:00:00
136,California ,06,"HAMILTON, TAMIKA",Republican Party,Challenger,745417.28,730261.07,12120,0,745417.04,12515.65,0,2022-06-30 00:00:00
137,California ,06,"LANGFORD, DAVID KEITH MR. JR.",Republican Party,Challenger,1981.68,1981.68,0,0,427.37,802.56,0,2022-06-30 00:00:00
138,California ,07,"MATSUI, DORIS",Democratic Party,Incumbent,1079709.97,483838.28,592054.67,3795,710882.42,638239.01,0,2022-06-30 00:00:00
139,California ,07,"FREMGEN, JAMES LUCAS",Democratic Party,Challenger,42384.49,39884.49,0,2500,38644.22,3740.27,2500,2022-06-30 00:00:00
140,California ,07,"PATTERSON, ROBERT BUZZ",Republican Party,Challenger,19165.3,19165.3,0,0,19304.83,0,3134.51,2021-12-31 00:00:00
141,California ,07,"SEMENENKO, MAX",Republican Party,Challenger,49568.22,25075.96,0,22752.26,37481.03,12087.19,6086.58,2022-06-30 00:00:00
142,California ,08,"GARAMENDI, JOHN",Democratic Party,Incumbent,867830.35,404602.4,462300,0,882527.06,1096425.57,0,2022-06-30 00:00:00
143,California ,08,"GOMEZ, BLANCA",Democratic Party,Challenger,1389,1389,0,0,822.32,1460.89,0,2022-06-30 00:00:00
144,California ,08,"JOHNSON, DEMNLUS III",Democratic Party,Challenger,29887.49,23290.22,2500,100,29290.55,596.94,18339.26,2022-06-30 00:00:00
145,California ,08,"RECILE, RUDY",Republican Party,Challenger,38943.94,12799,0,25502.66,37102.16,1841.78,18702.66,2022-06-30 00:00:00
146,California ,08,"RUTSCH, EDWIN",Democratic Party,Challenger,9075,7575,0,1500,9075,0,0,2022-06-16 00:00:00
147,California ,08,"SUDDUTH, CHERYL",Democratic Party,Challenger,37949.76,27849.71,1000,6100,35618.76,2331,6100,2022-06-30 00:00:00
148,California ,09,"CHIMA, HARPREET SINGH",Democratic Party,Open,78845.55,78845.55,0,0,65513.82,13342.05,57676.65,2022-06-30 00:00:00
149,California ,09,"FENG, KARENA",Democratic Party,Open,6366865.68,45200,0,8802.09,6348864.66,18580.89,0,2022-06-30 00:00:00
150,California ,09,"HARDER, JOSH",Democratic Party,Open,5400884.49,4428213.64,592514.72,0,1652569.46,7218077.56,0,2022-06-30 00:00:00
151,California ,09,"MADISON, JONATHAN",Republican Party,Open,61259,35559,0,25700,60559.76,699.24,19700,2022-06-30 00:00:00
152,California ,09,"PATTI, THOMAS",Republican Party,Open,749133,707633,36500,0,381320.04,367812.96,15597.34,2022-06-30 00:00:00
153,California ,09,"SHOEMAKER, JAMES H",Republican Party,Open,27651.94,17953.99,0,9697.95,22311.26,5340.68,6497.95,2022-06-30 00:00:00
154,California ,09,"MCNERNEY, JERRY*",Democratic Party,Incumbent,597676.19,389708.38,204900,0,643919.83,187929.78,0,2022-06-30 00:00:00
155,California ,10,"DESAULNIER, MARK",Democratic Party,Incumbent,478161.71,180262.57,297830.95,0,363955.45,595594.27,0,2022-06-30 00:00:00
156,California ,10,"DENHAM, JEFF",Republican Party,Challenger,1503.5,0,0,0,51955.34,200752.51,0,2022-06-30 00:00:00
157,California ,10,"GILL, RANJIT",Republican Party,Challenger,213525,13525,0,200000,213525,0,0,2022-01-22 00:00:00
158,California ,11,"PELOSI, NANCY",Democratic Party,Incumbent,19423124.42,16676916.33,1129800,0,19082192,6640305.76,0,2022-06-30 00:00:00
159,California ,11,"BUTTAR, SHAHID",Democratic Party,Challenger,179552.76,177201.89,0,479.2,193720.72,8248.69,23051.68,2022-06-30 00:00:00
160,California ,11,"DENNIS, JOHN MR.",Republican Party,Challenger,823777.01,793971.57,0,0,802628.94,21148.07,29287.05,2022-06-30 00:00:00
161,California ,11,"PHILLIPS, JEFFREY ALAN",Democratic Party,Challenger,4979.03,335.68,0,4643.35,4979.03,0,4556.16,2022-06-30 00:00:00
162,California ,12,"LEE, BARBARA",Democratic Party,Incumbent,1564586.62,1263165.26,297400,0,1588713.07,186247.27,4401.75,2022-06-30 00:00:00
163,California ,12,"CURRY, ERIC",Democratic Party,Challenger,4677,4463,0,0,4677,0,13843.98,2022-06-30 00:00:00
164,California ,13,"ARBALLO, PHIL",Democratic Party,Challenger,1602466.69,1538648.65,49000,0,1510521.28,121211.42,25233.07,2022-06-30 00:00:00
165,California ,13,"DUARTE, JOHN S",Republican Party,Challenger,1276117.47,722889.97,86700,440000,903449.56,372667.91,10135.61,2022-06-30 00:00:00
166,California ,13,"GIGLIO, DAVID ANTHONY",Republican Party,Challenger,737030.43,387984.69,1000,331397.38,731997.23,5033.2,61065,2022-06-30 00:00:00
167,California ,13,"GRAY, ADAM C.",Democratic Party,Challenger,951715.76,747315.75,204400,0,550134.9,401580.86,6417.67,2022-06-30 00:00:00
168,California ,13,"MARTINEZ, DIEGO J",Republican Party,Challenger,3135,2135,1000,0,1434.3,1700.7,2268.58,2022-06-30 00:00:00
169,California ,14,"IYER, STEVE",Republican Party,Open,8250.22,3250.22,0,5000,1780.11,6470.11,59741.49,2022-06-30 00:00:00
170,California ,14,"SINGH, MAJOR",No Party Affiliation,Open,15000,0,0,15000,13672.23,1327.77,16911.22,2022-06-30 00:00:00
171,California ,14,"WATTERS, ANDREW G.",Democratic Party,Open,10000,0,0,10000,0,10000,10000,2021-12-31 00:00:00
172,California ,14,"WONG, THOMAS",Republican Party,Open,18447.42,6718.01,0,11409.6,16366.41,2081.01,16638.09,2022-06-30 00:00:00
173,California ,14,"SPEIER, JACKIE*",Democratic Party,Incumbent,297601.71,246406.02,44850,0,334760.57,1742612.65,5068.76,2022-06-30 00:00:00
174,California ,14,"SWALWELL, ERIC MICHAEL",Democratic Party,Incumbent,3038935.85,2518601.6,400192.58,0,2553106.84,988757.75,0,2022-06-30 00:00:00
175,California ,15,"BEACH, EMILY",Democratic Party,Open,580608.95,561407.45,16600,201.5,580608.95,0,0,2022-06-30 00:00:00
176,California ,15,"CANEPA, DAVID",Democratic Party,Open,753115.92,712472.7,18600,0,619961.32,133154.6,70065.07,2022-06-30 00:00:00
177,California ,15,"MATTAMMAL, GUS",Republican Party,Open,38601.37,38601.37,0,0,35056.57,3544.8,0,2022-06-30 00:00:00
178,California ,15,"MULLIN, KEVIN",Democratic Party,Open,899843.6,719172.75,115628,65000,769227.86,130615.74,9555.39,2022-06-30 00:00:00
179,California ,15,"COTA, JACKIE S",Republican Party,Challenger,4165,2665,0,1500,1835.23,2329.77,4000,2022-06-30 00:00:00
180,California ,16,"ESHOO, ANNA G.",Democratic Party,Incumbent,1627682.92,1002379.72,624440,0,1266906.5,913575.21,0,2022-06-30 00:00:00
181,California ,16,"BROWN, NATHAN K",Republican Party,Challenger,135995,34495,0,101500,135995,0,0,2021-12-31 00:00:00
182,California ,16,"FOX, RICHARD DR.",Republican Party,Challenger,5135,3885,0,1250,2967.35,2167.65,9955,2022-06-30 00:00:00
183,California ,16,"KUMAR, RISHI",Democratic Party,Challenger,334057.54,333872.63,0,0,398072.21,-9375.29,140000,2022-06-30 00:00:00
184,California ,16,"OHTAKI, PETER",Republican Party,Challenger,44468.12,22264,0,22204.12,43084.12,1384,29794.13,2022-06-30 00:00:00
185,California ,16,"RADING, AJWANG",Democratic Party,Challenger,258274.88,257773.88,500,1,228904.68,29370.2,0,2022-06-30 00:00:00
